x,y,R_std,y_hi,y_lo
1,7.59E-05,1.54E-05,9.13E-05,6.05E-05
2,9.12E-06,3.71E-06,1.28E-05,5.41E-06
3,5.68E-05,2.28E-05,7.96E-05,3.40E-05
4,1.86E-05,6.02E-06,2.46E-05,1.26E-05
5,0.000129016,6.88E-05,1.98E-04,6.02E-05
6,1.86E-05,1.12E-05,2.98E-05,7.40E-06
7,5.48E-05,3.67E-05,9.15E-05,1.81E-05
8,5.46E-05,3.88E-05,9.34E-05,1.58E-05
9,0.000136983,0.000109047,2.46E-04,2.79E-05
10,7.80E-05,9.95E-05,1.78E-04,-2.15E-05
11,3.41E-05,1.79E-05,5.20E-05,1.62E-05
12,3.50E-05,2.71E-05,6.21E-05,7.90E-06
13,0.000103193,5.54E-05,1.59E-04,4.78E-05
14,8.09E-05,0.000106289,1.87E-04,-2.54E-05
15,0.000174474,0.000145945,3.20E-04,2.85E-05
16,2.89E-05,2.37E-05,5.26E-05,5.20E-06
17,4.01E-05,2.14E-05,6.15E-05,1.87E-05
18,9.83E-05,6.21E-05,1.60E-04,3.62E-05
19,8.63E-05,6.23E-05,1.49E-04,2.40E-05
20,0.000180064,0.00015728,3.37E-04,2.28E-05
21,7.32E-05,0.000119694,1.93E-04,-4.65E-05
22,5.64E-05,3.11E-05,8.75E-05,2.53E-05
23,5.46E-05,2.75E-05,8.21E-05,2.71E-05
24,5.29E-05,8.74E-05,1.40E-04,-3.45E-05
25,0.000154731,9.43E-05,2.49E-04,6.04E-05
26,5.80E-05,4.46E-05,1.03E-04,1.34E-05
27,0.000108456,0.000139891,2.48E-04,-3.14E-05
28,3.38E-05,3.50E-05,6.88E-05,-1.20E-06
29,4.65E-05,2.36E-05,7.01E-05,2.29E-05
30,5.83E-05,6.23E-05,1.21E-04,-4.00E-06
31,4.44E-05,3.39E-05,7.83E-05,1.05E-05
32,7.12E-05,6.46E-05,1.36E-04,6.60E-06
33,3.18E-05,3.07E-05,6.25E-05,1.10E-06
34,9.52E-05,9.07E-05,1.86E-04,4.50E-06
35,9.01E-05,1.38E-05,1.04E-04,7.63E-05
36,7.79E-05,8.04E-05,1.58E-04,-2.50E-06
37,4.18E-05,5.18E-05,9.36E-05,-1.00E-05
38,3.26E-05,1.28E-05,4.54E-05,1.98E-05
39,1.45E-05,8.54E-06,2.30E-05,5.96E-06
40,2.53E-05,1.07E-05,3.60E-05,1.46E-05
41,2.48E-05,1.41E-05,3.89E-05,1.07E-05
42,2.56E-05,1.56E-05,4.12E-05,1.00E-05
43,3.05E-05,2.00E-05,5.05E-05,1.05E-05
44,3.06E-05,2.24E-05,5.30E-05,8.20E-06
45,3.48E-05,2.65E-05,6.13E-05,8.30E-06
46,6.76E-05,2.57E-05,9.33E-05,4.19E-05
47,4.29E-05,3.24E-05,7.53E-05,1.05E-05
48,9.00E-05,3.26E-05,1.23E-04,5.74E-05
49,2.49E-05,1.72E-05,4.21E-05,7.70E-06
50,0.000136494,3.52E-05,1.72E-04,1.01E-04
51,2.43E-05,2.24E-05,4.67E-05,1.90E-06
52,0.000164542,7.59E-05,2.40E-04,8.86E-05
53,3.04E-05,2.20E-05,5.24E-05,8.40E-06
54,5.43E-05,4.20E-05,9.63E-05,1.23E-05
55,1.03E-05,6.13E-06,1.64E-05,4.17E-06
56,6.19E-05,6.08E-05,1.23E-04,1.10E-06
57,2.19E-05,1.62E-05,3.81E-05,5.70E-06
58,3.55E-05,1.12E-05,4.67E-05,2.43E-05
59,4.38E-05,2.65E-05,7.03E-05,1.73E-05
60,2.67E-05,9.14E-06,3.58E-05,1.76E-05
61,7.05E-05,3.94E-05,1.10E-04,3.11E-05
62,2.23E-05,9.44E-06,3.17E-05,1.29E-05
63,0.000120444,6.45E-05,1.85E-04,5.59E-05
64,6.41E-05,8.18E-05,1.46E-04,-1.77E-05
65,8.94E-05,6.18E-05,1.51E-04,2.76E-05
66,1.48E-05,9.30E-06,2.41E-05,5.50E-06
67,7.44E-05,5.39E-05,1.28E-04,2.05E-05
68,2.08E-05,1.14E-05,3.22E-05,9.40E-06
69,0.000107638,9.63E-05,2.04E-04,1.13E-05
70,2.90E-05,1.96E-05,4.86E-05,9.40E-06
71,4.48E-05,1.83E-05,6.31E-05,2.65E-05
72,4.09E-05,2.77E-05,6.86E-05,1.32E-05
73,4.94E-05,4.06E-05,9.00E-05,8.80E-06
74,6.46E-05,4.08E-05,1.05E-04,2.38E-05
75,7.57E-05,7.31E-05,1.49E-04,2.60E-06
76,0.000124066,4.09E-05,1.65E-04,8.32E-05
77,5.78E-05,6.33E-05,1.21E-04,-5.50E-06
78,0.000126776,5.84E-05,1.85E-04,6.84E-05
79,2.87E-05,1.84E-05,4.71E-05,1.03E-05
80,5.69E-05,5.35E-05,1.10E-04,3.40E-06
81,2.53E-05,9.47E-06,3.48E-05,1.58E-05
82,3.49E-05,1.33E-05,4.82E-05,2.16E-05
83,2.75E-05,1.58E-05,4.33E-05,1.17E-05
84,4.06E-05,2.41E-05,6.47E-05,1.65E-05
85,3.99E-05,2.38E-05,6.37E-05,1.61E-05
86,4.64E-05,4.44E-05,9.08E-05,2.00E-06
87,5.35E-05,3.82E-05,9.17E-05,1.53E-05
88,6.56E-05,7.21E-05,1.38E-04,-6.50E-06
89,9.04E-05,4.77E-05,1.38E-04,4.27E-05
90,7.24E-05,7.96E-05,1.52E-04,-7.20E-06
91,6.47E-05,4.73E-05,1.12E-04,1.74E-05
92,2.41E-05,1.25E-05,3.66E-05,1.16E-05
93,5.61E-05,4.22E-05,9.83E-05,1.39E-05
94,2.10E-05,1.59E-05,3.69E-05,5.10E-06
95,5.75E-05,4.31E-05,1.01E-04,1.44E-05
96,3.22E-05,2.46E-05,5.68E-05,7.60E-06
97,5.56E-05,3.38E-05,8.94E-05,2.18E-05
98,7.85E-06,5.31E-06,1.32E-05,2.54E-06
99,6.53E-05,4.69E-05,1.12E-04,1.84E-05
100,6.92E-06,3.95E-06,1.09E-05,2.97E-06
101,5.07E-05,3.24E-05,8.31E-05,1.83E-05
102,1.47E-05,5.01E-06,1.97E-05,9.69E-06
103,7.20E-05,5.45E-05,1.27E-04,1.75E-05
104,1.65E-05,8.53E-06,2.50E-05,7.97E-06
105,4.44E-05,3.60E-05,8.04E-05,8.40E-06
106,2.38E-05,1.07E-05,3.45E-05,1.31E-05
107,6.18E-05,5.08E-05,1.13E-04,1.10E-05
108,2.14E-05,1.65E-05,3.79E-05,4.90E-06
109,4.00E-05,3.47E-05,7.47E-05,5.30E-06
