x,y,R_std
1,0.003440674,0.00156734
2,0.001038522,0.000560034
3,0.00142276,0.001223889
4,0.002289437,0.000243497
5,0.001417678,0.000756834
6,0.00312257,0.000676494
7,0.001905187,0.001489083
8,0.00034584,5.17E-05
9,0.001547492,0.002057411
10,0.002165972,0.000442534
11,0.000169542,7.27E-05
12,0.000797939,0.000820678
13,0.000209552,8.83E-05
14,0.001925192,0.000908696
15,0.002944525,0.002603172
16,0.000898899,0.000857803
17,0.000373288,0
18,0.002362689,0.000938996
19,0.000395669,0
20,0.00141013,0.000950479
21,0.006052509,0
22,0.002357285,0.00111204
23,0,0
24,0.00169904,0.000940271
25,0,0
26,0.002060422,0.00105669
27,0,0
28,0.002442155,0.000286395
29,0,0
30,0.001958605,0.001207146
31,0,0
32,0.001975363,0.000969801
33,0,0
34,0.002335256,0.000642408
35,0,0
36,0.001650687,0.001371975
37,0,0
38,0.00186037,0.000653567
39,0,0
40,0.002546072,0.000813159
41,0,0
42,0.001651483,0.001582936
43,0,0
44,0.001729267,0.000842068
45,0,0
46,0.002136755,0.001025952
47,0,0
48,0.001830517,0.00079385
49,0,0
50,0.002563705,0.000355882
51,0,0
52,0.00238553,0.00117811
53,0,0
54,0.001920427,0.000760226
55,0,0
56,0.002424875,0.000814376
57,0,0
58,0.001994437,0.000821727
59,0,0
60,0.0021536,0.001023003
61,0,0
62,0.002005394,0.000696492
63,0,0
64,0.001782783,0.000896075
65,0,0
66,0.002570041,0.000468658
67,0,0
68,0.002172061,0.000963975
69,0,0
70,0.002285479,0.001177537
71,0,0
72,0.001294674,0.000703543
73,0,0
74,0.002568503,0.000596639
75,0,0
76,0.002181241,0.000899607
77,0,0
78,0.002037803,0.00110288
79,0,0
80,0.002307078,0.000508832
81,0,0
82,0.002156239,0.001057665
83,0,0
84,0.001731878,0.001139956
85,0,0
86,0.002024762,0.000721174
87,0,0
88,0.002753009,0.000565172
89,0,0
90,0.001691121,0.001347417
91,0,0
92,0.002276011,0.000930559
93,0,0
94,0.002000562,0.001167417
95,0,0
96,0.002209944,0.000624174
97,0,0
98,0.002360552,0.001125536
99,0,0
100,0.001670838,0.001027544
101,0,0
102,0.001808933,0.001176795
103,0,0
104,0.001997404,0.000625777
105,0,0
106,0.002617117,0.000327485
107,0,0
108,0.001952353,0.001201868
109,0,0
110,0.001905524,0.000753983
111,0,0
112,0.001762932,0.00109551
113,0,0
114,0.002417545,0.00059589
115,0,0
116,0.001834388,0.001196519
117,0,0
118,0.002045414,0.001010103
119,0,0
120,0.002161036,0.000619975
121,0,0
122,0.002026776,0.001364054
123,0,0
124,0.001777836,0.000807941
125,0,0
126,0.002271814,0.000821225
127,0,0
128,0.001506156,0.00120203
129,0,0
130,0.002227704,0.000613713
131,0,0
132,0.002037265,0.000974424
133,0,0
134,0.00213514,0.001127194
135,0,0
136,0.001979409,0.001013208
137,0,0
138,0.002402259,0.000556957
139,0,0
140,0.002250627,0.000897843
141,0,0
142,0.001389987,0.001383128
143,0,0
144,0.002261186,0.000372613
145,0,0
146,0.001359525,0.00129145
147,0,0
148,0.001866137,0.001002921
149,0,0
150,0.00231899,0.000566739
151,0,0
152,0.001512302,0.001317985
153,0,0
154,0.002240661,0.00033618
155,0,0
156,0.002032825,0.001261894
157,0,0
158,0.00169178,0.000878795
159,0,0
160,0.002377922,0.000541512
161,0,0
162,0.002096918,0.000928872
163,0,0
164,0.002110181,0.001286364
165,0,0
166,0.00215212,0.001074286
167,0,0
168,0.001588414,0.000945677
169,0,0
170,0.001968305,0.001050996
171,0,0
172,0.001757523,0.0009855
173,0,0
174,0.002292589,0.000406649
175,0,0
176,0.002502877,0.001067975
177,0,0
178,0.00141812,0.001203316
179,0,0
180,0.002508375,0.000455024
181,0,0
182,0.002663913,0.000213984
183,0,0
184,0.002157306,0.000927401
185,0,0
186,0.002680218,0.000659074
187,0,0
188,0.001563496,0.001075123
189,0,0
190,0.002533504,0.000468277
191,0,0
192,0.001392682,0.001189716
193,0,0
194,0.001978909,0.00102632
195,0,0
196,0.00227471,0.000396922
197,0,0
198,0.002245194,0.000863488
199,0,0
200,0.002367012,0.000690674
