x,y,R_std
1,0.0017187294326722624,0.0011996997814771046
2,0.0007976076645510537,0.00034220297928627414
3,0.00027728652954101565,8.542306922821273e-05
4,6.027117371559143e-05,3.097206354141234e-06
5,0.0008586241517748152,0.0015834870966316913
6,0.008357674771298965,0.002688691896052631
7,0.007432796855767567,0.0031708982561547247
8,0.005912001029854374,0.0036798257494613054
9,0.003323045023051756,0.0028575754742703238
10,0.0007005806282783549,0.0009559236099369808
11,,
12,0.002383051011711359,0.00026666598394513123
13,9.164724498987199e-05,0.00012590034729227263
14,0.0003503195941448212,0.0003458879888057709
15,0.001235274989157915,0.0011719417758285998
16,,
17,0.00046910524368286137,0.000369907021522522
18,,
19,,
20,6.237626075744629e-06,0.0
21,,
22,1.72954797744751e-05,0.0
23,,
24,0.00019891828298568726,0.00016533941030502322
25,,
26,0.00022279441356658935,0.0
27,,
28,0.00021860405802726746,0.00017768706655627297
29,,
30,,
31,8.379459381103515e-05,0.0
32,0.00043553809324900315,0.00013994462238046628
33,,
34,0.0003121036291122437,0.0
35,,
36,0.00048047646880149846,0.00020714357495307922
37,,
38,,
39,5.901932716369629e-05,0.0
40,,
41,0.00012202069163322449,9.445115923881531e-05
42,0.0001158633828163147,7.961899042129517e-05
43,,
44,0.00034215688705444344,0.0002484220584810251
45,1.9713491201400758e-05,0.0
46,0.00038737982511520384,0.0002555027923321836
47,,
48,0.00026027756929397584,0.0003120240620258488
49,0.00016225293278694154,0.00010680484701417168
50,0.000372337281703949,0.00017220644926965135
51,0.00048511326313018806,0.00011105412878869405
52,0.00021707651515801747,0.00019402666948212209
53,0.0005485191941261292,0.00032294554357295693
54,0.00010137150684992473,0.00011860839085243576
55,5.481284856796266e-05,3.747844934971966e-05
56,8.946023881435395e-05,3.466364110630941e-05
57,0.0002182239294052124,0.00015534007749988155
58,0.0001648661494255066,0.0001425241699572878
59,0.0004768719673156738,0.00021022855584918612
60,0.00039887470006942747,0.00023501412314763366
61,0.0004371125102043152,0.0003293277020119621
62,0.0003333193808794022,0.00026160372095382735
63,0.00010645657777786255,4.969889363643189e-05
64,0.00014876484870910645,3.90123272021352e-06
65,0.000228225514292717,0.00020972986262914666
66,0.00030018068850040436,0.00011965267233542045
67,0.0005683419605096181,0.00033305350577629393
68,0.0003980218370755514,0.00023318264222363565
69,0.00010231591761112214,8.951811541307073e-05
70,0.0003280733153223992,0.00022401724804982736
71,0.000163772776722908,3.515295684337616e-05
72,0.00016769245266914367,0.00020104864033405946
73,3.714248538017273e-05,2.088889479637146e-05
74,0.00012999892234802246,0.00010966176891978476
75,0.00012863258520762126,3.876648656181248e-05
76,0.0002640889585018158,0.00022407069802284242
77,0.00021319858729839324,0.00011897720396518706
78,1.9359588623046877e-06,0.0
79,0.0002449965476989746,0.0
80,,
81,,
82,,
83,7.168099284172059e-05,2.9479414224624636e-05
84,,
85,0.0001945696771144867,0.0
86,,
87,1.5137344598770142e-05,0.0
88,,
89,,
90,,
91,2.1368563175201416e-05,0.0
92,,
93,,
94,,
95,,
96,,
97,,
98,,
99,,
100,,
101,,
102,,
103,,
104,,
105,,
106,,
107,,
108,,
109,,
110,,
111,,
112,,
113,,
114,,
115,,
116,,
117,,
118,,
119,,
120,,
121,,
122,,
123,,
124,,
125,,
126,,
127,,
128,,
129,,
130,,
131,,
132,,
133,,
134,,
135,,
136,,
137,,
138,,
139,,
140,,
141,,
142,,
143,,
144,,
145,,
146,,
147,,
148,,
149,,
150,,
151,,
152,,
153,,
154,,
155,,
156,,
157,,
158,,
159,,
160,,
161,,
162,,
163,,
164,,
165,,
166,,
167,,
168,,
169,,
170,,
171,,
172,,
173,,
174,,
175,,
176,,
177,,
178,,
179,,
180,,
181,,
182,,
183,,
184,,
185,,
186,,
187,,
188,,
189,,
190,,
191,,
192,,
193,,
194,,
195,,
196,,
197,,
198,,
199,,
200,,
201,,
202,,
203,,
204,,
205,,
206,,
207,,
208,,
209,,
210,,
211,,
212,,
213,,
214,,
215,,
216,,
217,,
218,,
219,,
220,,
221,,
222,,
223,,
224,,
225,,
226,,
227,,
228,,
229,,
230,,
231,,
232,,
233,,
234,,
235,,
236,,
237,,
238,,
239,,
240,,
241,,
242,,
243,,
244,,
245,,
246,,
247,,
248,,
249,,
250,,
251,,
252,,
253,,
254,,
255,,
256,,
257,,
258,,
259,,
260,,
261,,
262,,
263,,
264,,
265,,
266,,
267,,
268,,
269,,
270,,
271,,
272,,
273,,
274,,
275,,
276,,
277,,
278,,
279,,
280,,
281,,
282,,
283,,
284,,
285,,
286,,
287,,
288,,
289,,
290,,
291,,
292,,
293,,
294,,
295,,
296,,
297,,
298,,
299,,
300,,
301,,
302,,
303,,
304,,
305,,
306,,
307,,
308,,
309,,
310,,
311,,
312,,
313,,
314,,
315,,
316,,
317,,
318,,
319,,
320,,
321,,
322,,
323,,
324,,
325,,
326,,
327,,
328,,
329,,
330,,
331,,
332,,
333,,
334,,
335,,
336,,
337,,
338,,
339,,
340,,
341,,
342,,
343,,
344,,
345,,
346,,
347,,
348,,
349,,
350,,
351,,
352,,
353,,
354,,
355,,
356,,
357,,
358,,
359,,
360,,
361,,
362,,
363,,
364,,
365,,
366,,
367,,
368,,
369,,
370,,
371,,
372,,
373,,
374,,
375,,
376,,
377,,
378,,
379,,
380,,
381,,
382,,
383,,
384,,
385,,
386,,
387,,
388,,
389,,
390,,
391,,
392,,
393,,
394,,
395,,
396,,
397,,
398,,
399,,
400,,
401,,
402,,
403,,
404,,
405,,
406,,
407,,
408,,
409,,
410,,
411,,
412,,
413,,
414,,
415,,
416,,
417,,
418,,
419,,
420,,
421,,
422,,
423,,
424,,
425,,
426,,
427,,
428,,
429,,
430,,
431,,
432,,
433,,
434,,
435,,
436,,
437,,
438,,
439,,
440,,
441,,
442,,
443,,
444,,
445,,
446,,
447,,
448,,
449,,
450,,
451,,
452,,
453,,
454,,
455,,
456,,
457,,
458,,
459,,
460,,
461,,
462,,
463,,
464,,
465,,
466,,
467,,
468,,
469,,
470,,
471,,
472,,
473,,
474,,
475,,
476,,
477,,
478,,
479,,
480,,
481,,
482,,
483,,
484,,
485,,
486,,
487,,
488,,
489,,
490,,
491,,
492,,
493,,
494,,
495,,
496,,
497,,
498,,
499,,
500,,
