x,y,R_std,y_hi,y_lo
1,4.68522310256958e-06,4.5790446467037015e-06,9.264267749273282e-06,1.0617845586587882e-07
2,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0
6,1.0341048240661621e-05,0.0,1.0341048240661621e-05,1.0341048240661621e-05
7,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0
11,9.216082096099854e-05,0.0,9.216082096099854e-05,9.216082096099854e-05
12,1.9230067729949952e-05,0.0,1.9230067729949952e-05,1.9230067729949952e-05
13,2.600495020548503e-05,1.0565721407302657e-05,3.6570671612787686e-05,1.543922879818237e-05
14,0.0,0.0,0.0,0.0
15,3.8905739784240724e-05,0.0,3.8905739784240724e-05,3.8905739784240724e-05
16,0.0,0.0,0.0,0.0
17,5.875587463378907e-06,0.0,5.875587463378907e-06,5.875587463378907e-06
18,1.9612789154052734e-05,0.0,1.9612789154052734e-05,1.9612789154052734e-05
19,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0
22,7.056772708892822e-06,1.3968348503112794e-06,8.453607559204102e-06,5.659937858581543e-06
23,6.766974925994873e-06,0.0,6.766974925994873e-06,6.766974925994873e-06
24,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0
27,7.70014524459839e-06,0.0,7.70014524459839e-06,7.70014524459839e-06
28,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0
31,0.0,0.0,0.0,0.0
32,3.490447998046875e-07,0.0,3.490447998046875e-07,3.490447998046875e-07
33,0.0,0.0,0.0,0.0
34,0.0,0.0,0.0,0.0
35,0.0,0.0,0.0,0.0
36,0.0,0.0,0.0,0.0
37,0.0,0.0,0.0,0.0
38,0.0,0.0,0.0,0.0
39,0.0,0.0,0.0,0.0
40,0.0,0.0,0.0,0.0
41,0.0,0.0,0.0,0.0
42,0.0,0.0,0.0,0.0
43,0.0,0.0,0.0,0.0
44,0.0,0.0,0.0,0.0
45,0.0,0.0,0.0,0.0
46,0.0,0.0,0.0,0.0
47,0.0,0.0,0.0,0.0
48,0.0,0.0,0.0,0.0
49,0.0,0.0,0.0,0.0
50,0.0,0.0,0.0,0.0
51,0.0,0.0,0.0,0.0
52,0.0,0.0,0.0,0.0
53,0.0,0.0,0.0,0.0
54,0.0,0.0,0.0,0.0
55,0.0,0.0,0.0,0.0
56,0.0,0.0,0.0,0.0
57,0.0,0.0,0.0,0.0
58,0.0,0.0,0.0,0.0
59,0.0,0.0,0.0,0.0
60,0.0,0.0,0.0,0.0
61,0.0,0.0,0.0,0.0
62,0.0,0.0,0.0,0.0
63,0.0,0.0,0.0,0.0
64,0.0,0.0,0.0,0.0
65,0.0,0.0,0.0,0.0
66,0.0,0.0,0.0,0.0
67,0.0,0.0,0.0,0.0
68,0.0,0.0,0.0,0.0
69,0.0,0.0,0.0,0.0
70,0.0,0.0,0.0,0.0
71,1.7442554235458373e-05,0.0,1.7442554235458373e-05,1.7442554235458373e-05
72,9.426772594451904e-07,0.0,9.426772594451904e-07,9.426772594451904e-07
73,0.0,0.0,0.0,0.0
74,0.0,0.0,0.0,0.0
75,0.0,0.0,0.0,0.0
76,6.424325704574586e-05,0.0,6.424325704574586e-05,6.424325704574586e-05
77,2.3260921239852907e-05,0.0,2.3260921239852907e-05,2.3260921239852907e-05
78,3.9474308490753174e-05,3.560492396354675e-05,7.507923245429993e-05,3.869384527206422e-06
79,1.8796980381011962e-05,1.7342329025268556e-05,3.613930940628052e-05,1.4546513557434066e-06
80,3.747166693210602e-05,3.0980840325355536e-05,6.845250725746155e-05,6.490826606750483e-06
81,1.6700014472007752e-05,1.1882290244102479e-05,2.8582304716110233e-05,4.817724227905274e-06
82,1.51139497756958e-06,0.0,1.51139497756958e-06,1.51139497756958e-06
83,0.0,0.0,0.0,0.0
84,0.0,0.0,0.0,0.0
85,0.0,0.0,0.0,0.0
86,2.102300524711609e-06,0.0,2.102300524711609e-06,2.102300524711609e-06
87,0.0,0.0,0.0,0.0
88,3.866761922836304e-06,0.0,3.866761922836304e-06,3.866761922836304e-06
89,0.0,0.0,0.0,0.0
90,0.0,0.0,0.0,0.0
91,0.0,0.0,0.0,0.0
92,0.0,0.0,0.0,0.0
93,0.0,0.0,0.0,0.0
94,0.0,0.0,0.0,0.0
95,0.0,0.0,0.0,0.0
96,4.141055047512054e-06,0.0,4.141055047512054e-06,4.141055047512054e-06
97,0.0,0.0,0.0,0.0
98,0.0,0.0,0.0,0.0
99,0.0,0.0,0.0,0.0
100,0.0,0.0,0.0,0.0
101,0.0,0.0,0.0,0.0
102,0.0,0.0,0.0,0.0
103,0.0,0.0,0.0,0.0
104,0.0,0.0,0.0,0.0
105,0.0,0.0,0.0,0.0
106,0.0,0.0,0.0,0.0
107,0.0,0.0,0.0,0.0
108,0.0,0.0,0.0,0.0
109,0.0,0.0,0.0,0.0
110,0.0,0.0,0.0,0.0
111,0.0,0.0,0.0,0.0
112,0.0,0.0,0.0,0.0
113,0.0,0.0,0.0,0.0
114,0.0,0.0,0.0,0.0
115,0.0,0.0,0.0,0.0
116,0.0,0.0,0.0,0.0
117,0.0,0.0,0.0,0.0
