x,y,R_std
1,5.240877469380697e-05,4.456492271232293e-05
2,,
3,,
4,,
5,,
6,2.044886350631714e-05,3.5551190376281744e-06
7,,
8,,
9,,
10,,
11,,
12,,
13,0.0003418238957722982,0.00015464997050512822
14,,
15,,
16,,
17,6.317555904388428e-05,0.0
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,,
49,,
50,,
51,,
52,,
53,,
54,,
55,,
56,,
57,,
58,,
59,,
60,,
61,,
62,,
63,,
64,,
65,,
66,,
67,,
68,,
69,,
70,,
71,,
72,,
73,,
74,,
75,,
76,,
77,,
78,0.0002940633893013001,0.00015067704247593162
79,5.408957600593567e-05,4.7751814126968386e-05
80,,
81,,
82,,
83,,
84,,
85,,
86,,
87,,
88,3.0134618282318115e-05,0.0
89,,
90,,
91,,
92,1.5992820262908935e-05,0.0
93,,
94,,
95,,
96,,
97,,
98,,
99,,
100,,
101,,
102,,
103,,
104,,
105,,
106,,
107,,
108,,
109,,
110,,
111,,
112,,
113,,
114,,
115,,
116,,
117,,
118,,
119,,
120,,
121,,
122,,
123,,
124,,
125,,
126,,
127,,
128,,
129,,
130,0.00023965189854303998,0.00013180165430935425
131,0.0001965266466140747,0.0
132,0.0002540016174316406,0.00019333600997924804
133,0.0002373121678829193,0.00014477262719771265
134,7.966876029968262e-05,0.0
135,0.00020436197519302368,8.661597967147828e-05
136,0.00020070463418960573,9.86285239315764e-05
137,0.00015724539756774902,0.0
138,9.30178165435791e-05,6.075441837310791e-05
139,1.3350844383239747e-05,0.0
140,0.00011339694261550904,5.1561892032623294e-05
141,0.00011088887850443523,3.4276856534233055e-05
142,,
143,4.100978374481201e-05,0.0
144,,
145,0.0002550772825876872,3.1999527485805506e-05
146,,
147,,
148,,
149,,
150,5.343437194824219e-05,0.0
151,,
152,,
153,,
154,,
155,,
156,,
157,,
158,,
159,,
160,,
161,,
162,,
163,,
164,,
165,,
166,,
167,,
168,,
169,,
170,,
171,,
172,,
173,,
174,,
175,,
176,,
177,,
178,,
179,,
180,,
181,,
182,0.0005256006866693497,0.0
183,0.00020258240401744844,0.0
184,,
185,,
186,0.000495779886841774,0.00013257242739200595
187,0.0001404893398284912,0.00012198373675346374
188,0.0004914544522762298,0.0
189,0.00016380801796913146,0.0
190,0.00036845944821834565,0.0
191,,
192,0.00030672352228845875,0.00023112042204331327
193,0.00020632376273473104,1.6559116673570567e-05
194,0.0003212600698073705,0.0003180559270038847
195,0.0004629187099635601,9.657054331755161e-05
196,0.00039647305011749267,0.0002791954125626102
197,0.00029777588943640394,6.921802218895654e-05
198,,
199,0.00037243949870268507,0.00015873998901228976
200,0.0007041308656334878,0.0005724043924228822
201,,
202,,
203,,
204,,
205,,
206,,
207,,
208,,
209,,
210,,
211,,
212,,
213,,
214,,
215,,
216,,
217,,
218,,
219,,
220,,
221,,
222,,
223,,
224,,
225,,
226,,
227,,
228,,
229,,
230,,
231,,
232,,
233,,
234,,
235,,
236,,
237,,
238,,
239,,
240,,
241,,
242,,
243,,
244,,
245,,
246,,
247,,
248,,
249,,
250,,
251,,
252,,
253,,
254,,
255,,
256,,
257,,
258,,
259,,
260,,
261,,
262,,
263,,
264,,
265,,
266,,
267,,
268,,
269,,
270,,
271,,
272,,
273,,
274,,
275,,
276,,
277,,
278,,
279,,
280,,
281,,
282,,
283,,
284,,
285,,
286,,
287,,
288,,
289,,
290,,
291,,
292,,
293,,
294,,
295,,
296,,
297,,
298,,
299,,
300,,
301,,
302,,
303,,
304,,
305,,
306,,
307,,
308,,
309,,
310,,
311,,
312,,
313,,
314,,
315,,
316,,
317,,
318,,
319,,
320,,
321,,
322,,
323,,
324,,
325,,
326,,
327,,
328,,
329,,
330,,
331,,
332,,
333,,
334,,
335,,
336,,
337,,
338,,
339,,
340,,
341,,
342,,
343,,
344,,
345,,
346,,
347,,
348,,
349,,
350,,
351,,
352,,
353,,
354,,
355,,
356,,
357,,
358,,
359,,
360,,
361,,
362,,
363,,
364,,
365,,
366,,
367,,
368,,
369,,
370,,
371,,
372,,
373,,
374,,
375,,
376,,
377,,
378,,
379,,
380,,
381,,
382,,
383,,
384,,
385,,
386,,
387,,
388,,
389,,
390,,
391,,
392,,
393,,
394,,
395,,
396,,
397,,
398,,
399,,
400,,
401,,
402,,
403,,
404,,
405,,
406,,
407,,
408,,
409,,
410,,
411,,
412,,
413,,
414,,
415,,
416,,
417,,
418,,
419,,
420,,
421,,
422,,
423,,
424,,
425,,
426,,
427,,
428,,
429,,
430,,
431,,
432,,
433,,
434,,
435,,
436,,
437,,
438,,
439,,
440,,
441,,
442,,
443,,
444,,
445,,
446,,
447,,
448,,
449,,
450,,
451,,
452,,
453,,
454,,
455,,
456,,
457,,
458,,
459,,
460,,
461,,
462,,
463,,
464,,
465,,
466,,
467,,
468,,
469,,
470,,
471,,
472,,
473,,
474,,
475,,
476,,
477,,
478,,
479,,
480,,
481,,
482,,
483,,
484,,
485,,
486,,
487,,
488,,
489,,
490,,
491,,
492,,
493,,
494,,
495,,
496,,
497,,
498,,
499,,
500,,
