x,y,R_std
1,5.86585532873869e-05,1.056894769366236e-05
2,3.6237285286188125e-05,1.3905269461941324e-05
3,2.202942967414856e-05,9.222221988307836e-06
4,,
5,1.0807991027832031e-05,0.0
6,1.3097956776618958e-05,1.01405531167984e-05
7,7.574915885925293e-06,5.058598502403351e-06
8,1.981690526008606e-06,0.0
9,1.581898331642151e-05,0.0
10,1.8374428153038025e-05,2.7083605527877807e-06
11,,
12,,
13,1.558881253004074e-05,1.14458079100533e-05
14,1.3071467479070027e-05,9.604428793595703e-06
15,4.176795482635498e-06,0.0
16,2.482256293296814e-05,0.0
17,7.943063974380494e-06,4.205168743161186e-06
18,3.6962330341339113e-06,2.529829740524292e-06
19,,
20,4.612565040588379e-06,0.0
21,,
22,3.2294094562530515e-06,1.2256801128387452e-06
23,,
24,9.175896644592285e-06,0.0
25,,
26,,
27,,
28,,
29,0.00014156913757324219,0.0
30,,
31,0.00021238780021667482,0.0
32,0.00010227584838867187,0.0
33,7.679760456085205e-06,0.0
34,,
35,,
36,,
37,,
38,2.468705177307129e-06,0.0
39,5.317330360412598e-06,0.0
40,,
41,2.8083920478820803e-06,0.0
42,3.2963693141937255e-05,0.0
43,1.471877098083496e-06,0.0
44,1.104283332824707e-05,0.0
45,,
46,1.6327500343322754e-05,0.0
47,9.095072746276856e-06,0.0
48,,
49,1.442885398864746e-05,0.0
50,,
51,,
52,,
53,,
54,,
55,3.078749775886536e-05,2.0046532154083265e-06
56,,
57,1.2690246105194092e-05,0.0
58,,
59,,
60,1.0590195655822754e-05,0.0
61,3.236949443817139e-05,0.0
62,2.9423654079437255e-05,1.5670657157897947e-06
63,8.351266384124755e-06,0.0
64,6.7375302314758304e-06,0.0
65,2.2201001644134522e-05,6.3123703002929685e-06
66,3.227958083152771e-05,1.5941649675369263e-05
67,2.016901969909668e-05,1.3515774425456776e-05
68,1.1100530624389648e-05,0.0
69,3.966635465621948e-05,0.0
70,3.333091735839844e-07,0.0
71,1.6142586867014568e-05,1.1260804950260827e-05
72,2.6436418294906615e-05,1.4944095752233009e-05
73,1.6472339630126954e-05,0.0
74,3.339794278144837e-05,1.0883215998368955e-05
75,8.88824462890625e-07,0.0
76,,
77,6.55055046081543e-06,0.0
78,,
79,2.0521819591522215e-05,1.5553012747777716e-05
80,,
81,2.1595805883407593e-05,7.853001356124878e-06
82,,
83,2.676373720169067e-05,1.2463943977069637e-05
84,,
85,1.1190652847290038e-05,0.0
86,,
87,2.5249719619750978e-06,0.0
88,7.4655016263326016e-06,4.860263742228297e-06
89,,
90,9.91356372833252e-06,4.532575607299805e-06
91,,
92,1.0227560997009278e-05,3.605246543884277e-06
93,,
94,7.155030965805054e-06,1.7842650413513168e-07
95,,
96,1.1822342872619629e-05,5.509257316589356e-06
97,,
98,7.700622081756593e-06,4.624805587951412e-06
99,,
100,7.004141807556152e-06,4.098521540903602e-06
101,,
102,8.948206901550293e-06,6.443613768687097e-06
103,,
104,1.9080623984336854e-05,1.8007010221481334e-06
105,,
106,,
107,,
108,,
109,,
110,,
111,5.8996478716532385e-06,3.981843485227288e-06
112,,
113,4.51420247554779e-06,2.6216357946395874e-06
114,,
115,8.148536086082458e-06,2.931341528892517e-06
116,,
117,1.8351897597312927e-06,1.3431646916482708e-06
118,,
119,9.558655321598052e-06,5.417821789158976e-06
120,,
121,9.529968102773031e-06,4.9208762004229335e-06
122,,
123,1.228812336921692e-05,2.821296453475952e-06
124,3.6409497261047364e-06,0.0
125,,
126,2.7350882689158125e-06,2.334640344257491e-06
127,,
128,2.850905060768128e-06,1.660468671359379e-06
129,,
130,2.4497434496879576e-06,1.8731053203693046e-06
131,,
132,3.4392986978803362e-06,1.1679365203415415e-06
133,,
134,2.5285747316148546e-06,2.0398189416177906e-06
135,,
136,3.908568993210792e-06,1.3837394832381011e-06
137,,
138,3.3824563854270506e-06,2.054145655124418e-06
139,,
140,2.9953540199332765e-06,1.562740950654463e-06
141,,
142,3.7040373426862065e-06,1.9894970280457745e-06
143,,
144,2.761634066700936e-06,1.690118499647742e-06
145,,
146,3.643055579492024e-06,1.3904245884199931e-06
147,,
148,3.7053126143291593e-06,1.5705648928698613e-06
149,,
150,2.7075242251157754e-06,1.1393890363982707e-06
151,,
152,2.9510424605437685e-06,1.1476581483537566e-06
153,,
154,2.7221087366342545e-06,1.4546415177401248e-06
155,,
156,2.875122108629772e-06,1.1752097328811825e-06
157,,
158,1.493492047302425e-06,6.533750096972112e-07
159,,
160,2.2448246470756005e-06,1.5772681713908892e-06
161,,
162,3.4765671007335186e-06,1.6369817604527872e-06
163,,
164,4.256188869476318e-06,5.950033664703368e-07
165,,
166,3.8378685712814333e-07,0.0
167,,
168,2.413041889667511e-06,1.6753971877804555e-06
169,,
170,3.216409683227539e-06,1.002016124736337e-06
171,,
172,3.7675201892852784e-06,1.2296438217163085e-06
173,,
174,7.021427154541015e-07,0.0
175,,
176,9.74332292874654e-07,9.21197714927323e-07
177,,
178,2.6201258103052774e-06,2.351133421215731e-06
179,,
180,5.176573991775512e-06,1.8489154028858376e-06
181,,
182,2.7933120727539065e-06,0.0
183,3.5567283630371096e-06,0.0
184,1.9958302378654482e-05,1.9316747784614564e-05
185,5.797088146209717e-06,0.0
186,1.903057098388672e-06,0.0
187,,
188,3.2880902290344238e-06,0.0
189,9.95868444442749e-06,0.0
190,4.320937395095825e-05,0.0
191,6.720364093780518e-06,0.0
192,,
193,4.587531089782715e-06,4.242429599422914e-06
194,,
195,3.8701057434082034e-05,2.559048858179739e-05
196,,
197,5.429367224375407e-06,1.4954048829238612e-06
198,,
199,3.193618357181549e-05,3.178200358969993e-05
200,,
201,,
202,,
203,,
204,,
205,,
206,,
207,,
208,,
209,,
210,,
211,,
212,,
213,,
214,,
215,,
216,,
217,,
218,,
219,,
220,,
221,,
222,,
223,,
224,,
225,,
226,,
227,,
228,,
229,,
230,,
231,,
232,,
233,,
234,,
235,,
236,,
237,,
238,,
239,,
240,,
241,,
242,,
243,,
244,,
245,,
246,,
247,,
248,,
249,,
250,,
251,,
252,,
253,,
254,,
255,,
256,,
257,,
258,,
259,,
260,,
261,,
262,,
263,,
264,,
265,,
266,,
267,,
268,,
269,,
270,,
271,,
272,,
273,,
274,,
275,,
276,,
277,,
278,,
279,,
280,,
281,,
282,,
283,,
284,,
285,,
286,,
287,,
288,,
289,,
290,,
291,,
292,,
293,,
294,,
295,,
296,,
297,,
298,,
299,,
300,,
301,,
302,,
303,,
304,,
305,,
306,,
307,,
308,,
309,,
310,,
311,,
312,,
313,,
314,,
315,,
316,,
317,,
318,,
319,,
320,,
321,,
322,,
323,,
324,,
325,,
326,,
327,,
328,,
329,,
330,,
331,,
332,,
333,,
334,,
335,,
336,,
337,,
338,,
339,,
340,,
341,,
342,,
343,,
344,,
345,,
346,,
347,,
348,,
349,,
350,,
351,,
352,,
353,,
354,,
355,,
356,,
357,,
358,,
359,,
360,,
361,,
362,,
363,,
364,,
365,,
366,,
367,,
368,,
369,,
370,,
371,,
372,,
373,,
374,,
375,,
376,,
377,,
378,,
379,,
380,,
381,,
382,,
383,,
384,,
385,,
386,,
387,,
388,,
389,,
390,,
391,,
392,,
393,,
394,,
395,,
396,,
397,,
398,,
399,,
400,,
401,,
402,,
403,,
404,,
405,,
406,,
407,,
408,,
409,,
410,,
411,,
412,,
413,,
414,,
415,,
416,,
417,,
418,,
419,,
420,,
421,,
422,,
423,,
424,,
425,,
426,,
427,,
428,,
429,,
430,,
431,,
432,,
433,,
434,,
