step,R_mean,R_std
1,5.534667670726776e-05,1.0200973692521531e-05
2,3.4083276987075808e-06,2.2257403734930684e-06
3,6.9344311952590945e-06,4.840808117331951e-06
4,9.207077324390411e-06,4.514196187834839e-06
5,1.5864411368966102e-05,2.534382543542106e-06
6,1.051778197288513e-05,7.480633920124014e-06
7,1.91671147942543e-05,7.062750810435693e-06
8,1.4184158295392992e-05,6.549081660182289e-06
9,2.950610965490341e-05,3.195386254223225e-05
10,9.772186477979023e-06,6.745106493237527e-06
11,5.511666337649027e-06,1.0543181063033782e-06
12,4.4156406606946675e-05,3.134007843267213e-05
13,7.120367884635925e-05,0.0
14,7.048216089606285e-05,0.0001086864367417515
15,4.3857671320438384e-05,2.891140128270128e-05
16,6.000255048274994e-05,1.918335258960724e-05
17,7.29544535279274e-05,8.739919952306849e-05
18,7.362381815910338e-05,5.753870109557199e-05
19,9.208148221174876e-05,7.47082494225691e-05
20,9.977543779781887e-05,6.97721804327851e-05
21,4.5323144644498825e-05,4.649161329910763e-05
22,8.148868594850813e-05,8.60135762618929e-05
23,7.130062580108643e-05,4.270027795176071e-05
24,7.027032545634679e-05,9.407970714240695e-05
25,8.117041736841202e-05,7.898183278809597e-05
26,7.278449212511381e-05,7.392313177630812e-05
27,8.346952497959138e-05,8.802071761423602e-05
28,6.275974533387593e-05,4.8005523513659654e-05
29,2.314488948988063e-05,3.7386783342183956e-05
30,9.585042297840119e-05,7.258853732637128e-05
31,3.078543829421203e-05,2.2226007073842533e-05
32,1.5669664988915128e-05,7.988112755264102e-06
33,6.905471347272397e-05,5.725611143572003e-05
34,2.1441195160150532e-05,1.991181135336703e-05
35,5.26194840669632e-05,5.5714656917264904e-05
36,2.190611697733402e-05,1.986920673197811e-05
37,1.5321092059214907e-05,7.575162808388252e-06
38,5.040035272638003e-05,3.288331609190362e-05
39,1.5017448924481868e-05,8.350399668416832e-06
40,2.631398141384125e-05,2.487414873159839e-05
41,1.582786689201991e-05,1.0895573395075314e-05
42,2.9315307736396793e-05,2.6909016786379144e-05
43,1.8883460666984317e-05,1.3413659244217642e-05
44,5.212174231807392e-05,4.2396097726181374e-05
45,2.2272045165300373e-05,1.0901658139703847e-05
46,7.894157990813257e-05,8.027208491887104e-05
47,9.193284437060358e-06,7.91167687920001e-06
48,8.624995830986235e-05,8.431453483821269e-05
49,4.001974314451218e-05,1.8904544413089754e-05
50,7.94986879453063e-05,9.113273621346467e-05
51,5.9537571668624876e-05,4.714494900997694e-05
52,4.349526183472739e-05,1.8689573583842942e-05
53,0.00011749976128339768,0.00011429582939526131
54,6.365633662790059e-05,5.7713450587625745e-05
55,0.00016397377529314588,0.00011427817051571772
56,8.600723929703236e-05,9.831257526562321e-05
57,5.302926127074493e-05,4.47995101071467e-05
58,7.11741472283999e-05,6.397451256033038e-05
59,7.976795319053861e-05,0.00010989506543952076
60,8.2440472766757e-05,6.488257607857356e-05
61,0.0001133269878725211,5.731041911946888e-05
62,0.00013371192663908006,0.00012486044134735308
63,8.837374746799469e-05,9.62776102323906e-05
64,6.703940607258119e-05,8.075606355828152e-05
65,0.0001165996579453349,0.00015041441272896437
66,5.378618091344833e-05,3.503034320469207e-05
67,0.00011355393312664495,9.270183707745354e-05
68,0.00012671253643929957,0.00010417719138646621
69,7.497430583074069e-05,5.8089299057391826e-05
70,0.00010672482020325131,0.00010611392408560677
71,4.4414993128157225e-05,2.2001939480825984e-05
72,7.311576902866363e-05,5.443579329457325e-05
73,8.534146682359278e-05,7.355539522908634e-05
74,9.6357779946023e-05,5.861387814027013e-05
75,0.00014378091227263215,0.00013178234336908682
76,6.293933590253195e-05,7.807654131402675e-05
77,6.119860671460628e-05,4.516199481647957e-05
78,5.975876639907558e-05,5.227833467962589e-05
79,5.3789501893334086e-05,4.547926357214429e-05
80,0.00010995116244469371,9.746701480140978e-05
81,0.00010206817489649568,7.595746473623484e-05
82,3.353467645744483e-05,2.4205481726595974e-05
83,7.174149780933346e-05,4.505573208322326e-05
84,5.5155452340841294e-05,4.3745862446103895e-05
85,0.0001080843967696031,7.225532912912389e-05
86,6.063137017190456e-05,4.73741472825278e-05
87,3.818499323512827e-05,6.549792104196055e-05
88,6.913033154393945e-05,4.430842724537788e-05
89,2.356270905584097e-05,1.4259171990488315e-05
90,8.154210882882277e-05,3.941553279297685e-05
91,8.885167422704398e-06,1.0030020109283415e-05
92,7.370430901646615e-05,6.010779918913934e-05
93,2.675688264116616e-05,2.0238780935686945e-05
94,1.0269396821968257e-05,7.807239342053328e-06
95,1.4949218636112556e-05,1.2893924309692602e-05
96,1.7835294983039302e-05,1.0086114287159334e-05
97,4.0420045610517265e-05,9.283692833547526e-06
98,1.1186256597284229e-05,5.70223736107435e-06
99,1.546163228340447e-05,1.8095868089347217e-05
100,1.734247786225751e-05,6.320659106567262e-06
101,1.1690011713653803e-05,7.5554908253252505e-06
102,1.1734015867114066e-05,2.553804898943249e-06
103,1.473116595298052e-05,1.0867576114833356e-05
104,9.888236721356709e-06,8.525015817068391e-06
105,1.604075450450182e-05,1.8097078427672383e-06
106,9.510682523250579e-06,5.988231683894876e-06
107,1.4968137567241986e-05,7.488738342099025e-06
108,9.527118504047394e-06,5.893452331647598e-06
109,1.388632133603096e-05,1.0369742371337345e-05
110,1.0552376508712769e-05,8.139355053434317e-06
111,9.795406833291053e-06,7.2962001413714605e-06
112,1.0757029056549071e-05,3.394210242147144e-06
113,9.872104972600937e-06,8.372455439241144e-06
114,1.1379119008779526e-05,5.846810038277315e-06
115,1.0764440521597862e-05,2.9854973983321285e-06
116,1.4883029460906984e-05,1.130453559772199e-05
117,1.4355547726154327e-05,9.006045758724212e-06
118,1.3743691146373748e-05,9.171160966182985e-06
119,1.1902034282684326e-05,9.877025437681335e-06
120,1.896859407424927e-05,1.0439064987233811e-05
121,1.8402710556983946e-05,1.0202602429003551e-05
122,1.4570747812589011e-05,9.326968679793928e-06
123,2.515347550312678e-05,1.071665032747432e-05
124,2.6199981570243835e-05,9.070500731468201e-06
125,2.5114286690950396e-05,1.375870356410093e-05
126,1.3204800585905713e-05,1.3412442816469963e-05
127,1.0174497961997986e-05,2.564474940299988e-06
128,2.2344022989273074e-05,1.4086935233299502e-05
