x,y,R_std,y_hi,y_lo
1,0.000276329,5.09E-05,3.27E-04,2.25E-04
2,1.69E-05,1.11E-05,2.80E-05,5.80E-06
3,3.47E-05,2.42E-05,5.89E-05,1.05E-05
4,4.59E-05,2.25E-05,6.84E-05,2.34E-05
5,7.93E-05,1.27E-05,9.20E-05,6.66E-05
6,5.24E-05,3.74E-05,8.98E-05,1.50E-05
7,9.64E-05,3.57E-05,1.32E-04,6.07E-05
8,7.08E-05,3.27E-05,1.04E-04,3.81E-05
9,0.000147331,0.000159549,3.07E-04,-1.22E-05
10,5.07E-05,3.12E-05,8.19E-05,1.95E-05
11,2.77E-05,5.50E-06,3.32E-05,2.22E-05
12,0.000220499,0.000156546,3.77E-04,6.40E-05
13,0.00035545,0,3.55E-04,3.55E-04
14,0.000351442,0.000540633,8.92E-04,-1.89E-04
15,0.000219017,0.000144344,3.63E-04,7.47E-05
16,0.00029964,9.59E-05,3.96E-04,2.04E-04
17,0.000367129,0.00043238,8.00E-04,-6.53E-05
18,0.000367237,0.000286488,6.54E-04,8.07E-05
19,0.000459151,0.000372039,8.31E-04,8.71E-05
20,0.000495737,0.000350415,8.46E-04,1.45E-04
21,0.00022611,0.000231675,4.58E-04,-5.57E-06
22,0.000405001,0.000428658,8.34E-04,-2.37E-05
23,0.000355742,0.00021338,5.69E-04,1.42E-04
24,0.000349573,0.000467249,8.17E-04,-1.18E-04
25,0.000404411,0.000392798,7.97E-04,1.16E-05
26,0.000364788,0.000366148,7.31E-04,-1.36E-06
27,0.000415801,0.000438119,8.54E-04,-2.23E-05
28,0.000311408,0.000241272,5.53E-04,7.01E-05
29,0.000114756,0.000186924,3.02E-04,-7.22E-05
30,0.000477202,0.000362473,8.40E-04,1.15E-04
31,0.000154767,0.000109829,2.65E-04,4.49E-05
32,7.69E-05,4.21E-05,1.19E-04,3.48E-05
33,0.000345225,0.00028496,6.30E-04,6.03E-05
34,0.000107129,9.94E-05,2.07E-04,7.73E-06
35,0.000262605,0.000278005,5.41E-04,-1.54E-05
36,0.000109432,9.92E-05,2.09E-04,1.02E-05
37,7.66E-05,3.79E-05,1.15E-04,3.87E-05
38,0.000251832,0.000164069,4.16E-04,8.78E-05
39,7.51E-05,4.18E-05,1.17E-04,3.33E-05
40,0.000133336,0.000122583,2.56E-04,1.08E-05
41,8.04E-05,5.43E-05,1.35E-04,2.61E-05
42,0.000146468,0.00013437,2.81E-04,1.21E-05
43,9.42E-05,6.72E-05,1.61E-04,2.70E-05
44,0.000260284,0.000211532,4.72E-04,4.88E-05
45,0.000111324,5.45E-05,1.66E-04,5.68E-05
46,0.000393795,0.000399828,7.94E-04,-6.03E-06
47,4.54E-05,3.98E-05,8.52E-05,5.60E-06
48,0.000430196,0.000419906,8.50E-04,1.03E-05
49,0.000199837,9.43E-05,2.94E-04,1.06E-04
50,0.000395737,0.000453062,8.49E-04,-5.73E-05
51,0.000297113,0.000235071,5.32E-04,6.20E-05
52,0.000216179,9.41E-05,3.10E-04,1.22E-04
53,0.000583391,0.000563854,1.15E-03,1.95E-05
54,0.000317771,0.000287925,6.06E-04,2.98E-05
55,0.000814989,0.000569497,1.38E-03,2.45E-04
56,0.000428486,0.000489235,9.18E-04,-6.07E-05
57,0.000264543,0.000223294,4.88E-04,4.12E-05
58,0.000355107,0.000318417,6.74E-04,3.67E-05
59,0.000395046,0.000539693,9.35E-04,-1.45E-04
60,0.000410418,0.000323595,7.34E-04,8.68E-05
61,0.000565126,0.000285399,8.51E-04,2.80E-04
62,0.000662757,0.000613904,1.28E-03,4.89E-05
63,0.000440215,0.000478308,9.19E-04,-3.81E-05
64,0.000333211,0.000401768,7.35E-04,-6.86E-05
65,0.000546156,0.000648929,1.20E-03,-1.03E-04
66,0.000268481,0.000174702,4.43E-04,9.38E-05
67,0.000565283,0.000462531,1.03E-03,1.03E-04
68,0.000630965,0.000517796,1.15E-03,1.13E-04
69,0.000374037,0.000289557,6.64E-04,8.45E-05
70,0.00052926,0.000520444,1.05E-03,8.82E-06
71,0.000219822,0.00010958,3.29E-04,1.10E-04
72,0.000364641,0.000271838,6.36E-04,9.28E-05
73,0.000425463,0.000366717,7.92E-04,5.87E-05
74,0.000481139,0.000292444,7.74E-04,1.89E-04
75,0.000714981,0.000653226,1.37E-03,6.18E-05
76,0.000313931,0.000389036,7.03E-04,-7.51E-05
77,0.000304781,0.000226003,5.31E-04,7.88E-05
78,0.000298256,0.000260896,5.59E-04,3.74E-05
79,0.000268743,0.000227153,4.96E-04,4.16E-05
80,0.000547611,0.000486334,1.03E-03,6.13E-05
