x,y,R_std
1,0.008649835,0.001432865
2,0.000472568,0.000368447
3,0.002459024,0.001493361
4,0.001676755,0.000723617
5,0.003838844,0.001886202
6,0.001863766,0.001198306
7,0.002456473,0.001848228
8,0.002290444,0.000915658
9,0.001545615,0.001199797
10,0.00255579,0.001174321
11,0.001479997,0.000943683
12,0.002419512,0.001799909
13,0.001773879,0.001386348
14,0.002280702,0.001630185
15,0.002377215,0.001696604
16,0.003024322,0
17,0.00335301,0.001571174
18,0.002551635,0.001091064
19,0.001652003,0.00114747
20,0.002280723,0.001870709
21,0.002738184,0.002384169
22,0.002671426,0.000946657
23,0.003250788,0.001957515
24,0.001521576,0.001052765
25,0.002381827,0.001917196
26,0.002826516,0.000893579
27,0.002042685,0.001103318
28,0.003454195,0.001205501
29,0.001963278,0.00094473
30,0.002312253,0.000703761
31,0.002777499,0.002117544
32,0.000937692,0.000411497
33,0.002910134,0.001920512
34,0.003661603,0.001198658
35,0.003110931,0.001193993
36,0.001158796,0.001789449
37,0.001783396,0.001214934
38,0.002788611,0.000913574
39,0.00215559,0.00240098
40,0.002415476,0.001728841
41,0.001395651,0.000625429
42,0.002175201,0.00156863
43,0.003310989,0.000903967
44,0.003531995,0.000825565
45,0.003502997,0.001602884
46,0.003427584,0.001238427
47,0.002457424,0.001186269
48,0.001860903,0.001854592
49,0.002445041,0.001727437
50,0.002290695,0.001650775
51,0.002715217,0.001878712
52,0.001925647,0.001480917
53,0.002594862,0.001999091
54,0.002118024,0.001282529
55,0.001621527,0.001061976
56,0.002140449,0.00157422
57,0.002045217,0.001686218
58,0.003189707,0.001975351
59,0.002710133,0.001117313
60,0.002983138,0.001087071
61,0.003761224,0.001243928
62,0.003282217,0.002294886
63,0.003543093,0.001626257
64,0.001639023,0.001056026
65,0.001643006,0.001153092
66,0.003714349,0.001536853
67,0.003270234,0.00212765
68,0.003435586,0.002544027
69,0.002397925,0.00171039
70,0.001806283,0.001477038
71,0.003177072,0.001065142
72,0.002199017,0.001502786
73,0.004193072,0.002213863
74,0.002687498,0.002501861
75,0.002154354,0.002332362
76,0.003833551,0.001354315
77,0.002166284,0.000835635
78,0.002923156,0.002028402
79,0.003642473,0.002008035
80,0.00314979,0.002697224
81,0.00384323,0.002027327
82,0.001508074,0.001056169
83,0.003454945,0.002234357
84,0.004715623,0.001401121
85,0.003574441,0.002124634
86,0.003005455,0.002665248
87,0.001462018,0.001126281
88,0.00213107,0.00100752
89,0.004429402,0.001130448
90,0.002971588,0.001990743
91,0.003586774,0.002739397
92,0.002259135,0.001392543
93,0.000867791,0.000448632
94,0.002430417,0.001533638
95,0.000640101,0.000424632
96,0.002379759,0.001418248
97,0.001241275,0.000928418
98,0.001815763,0.001220501
99,0.00173629,0.001342285
100,0.002757342,0.00084308
101,0.002406181,0.000466875
102,0.003763478,0.001258375
103,0.002588877,0.000843015
104,0.002046238,0.001585626
105,0.002474857,0.001196776
106,0.001646738,0.000891182
107,0.002914244,0.001697205
108,0.002003808,0.001736199
109,0.00312812,0.001484505
110,0.003242041,0.001558987
111,0.001709036,0.001604408
112,0.002021275,0.001156586
113,0.002304568,0.001953532
114,0.002159291,0.00094146
115,0.001520589,0.001154609
116,0.004168768,0.001653649
117,0.003026786,0.0025736
118,0.00166797,0.001780149
119,0.003992341,0.001933496
120,0.002964722,0.002489806
121,0.002767425,0.002447864
122,0.004217264,0.002620163
123,0.002913695,0.002097521
124,0.003883056,0.003016318
125,0.003677126,0.002613127
126,0.00323568,0.001915355
127,0.003630884,0.003048002
128,0.003665199,0.002134216
129,0.003434422,0.001549461
130,0.00432932,0.003022351
131,0.004441581,0.002173759
132,0.003810966,0.001563138
133,0.003010108,0.002350267
134,0.003110903,0.001933017
135,0.002836102,0.001331898
136,0.004557449,0.001988467
137,0.002766857,0.001986999
138,0.004285644,0.002334803
139,0.002929502,0.002399489
140,0.005591219,0.001340596
141,0.003132823,0.002257638
142,0.004855514,0.001661693
143,0.002851499,0.002084432
144,0.004433713,0.002377292
145,0.002796274,0.001878116
146,0.005192082,0.002516333
147,0.004098732,0.000979935
148,0.005597462,0.002657258
149,0.003281509,0.001738992
150,0.0058033,0.002735699
151,0.002639885,0.001803264
152,0.005378798,0.002349823
153,0.002835468,0.001850145
154,0.005802313,0.002301176
155,0.004154664,0.002229469
156,0.00647335,0.002447532
157,0.006686202,0.002132923
158,0.006470039,0.002143202
159,0.004565902,0.002816009
