x,y
0.0,10.0
1.0995864868164063e-06,10.0
1.3890564441680909e-06,10.0
1.948922872543335e-06,10.0
2.3694336414337157e-06,10.0
4.284769296646118e-06,10.0
5.391091108322144e-06,10.0
6.987422704696655e-06,10.0
7.87237286567688e-06,10.0
1.052430272102356e-05,10.0
1.113685965538025e-05,10.0
1.1528015136718751e-05,10.0
1.2288868427276611e-05,10.0
1.3766318559646606e-05,10.0
1.4473289251327516e-05,10.0
1.4669477939605713e-05,10.0
1.6859322786331178e-05,10.0
1.7383545637130736e-05,10.0
1.8217027187347414e-05,10.0
1.8794924020767213e-05,10.0
1.908653974533081e-05,10.0
2.1073132753372192e-05,10.0
2.126431465148926e-05,10.0
2.3238509893417358e-05,10.0
2.3794561624526978e-05,10.0
2.3811787366867065e-05,10.0
2.402794361114502e-05,10.0
2.566492557525635e-05,10.0
2.6185154914855958e-05,10.0
2.6360929012298586e-05,10.0
2.8221189975738526e-05,10.0
2.903231978416443e-05,10.0
2.9348313808441164e-05,10.0
3.0184000730514527e-05,10.0
3.1188398599624634e-05,10.0
3.1664371490478516e-05,10.0
3.210511803627014e-05,10.0
3.239700198173523e-05,10.0
3.315049409866333e-05,10.0
3.3372044563293456e-05,10.0
3.39764654636383e-05,10.0
3.5341858863830566e-05,10.0
3.57835590839386e-05,10.0
3.654104471206665e-05,10.0
3.738364577293396e-05,10.0
3.757879137992859e-05,10.0
3.7759333848953245e-05,10.0
3.7847697734832766e-05,10.0
3.807935118675232e-05,10.0
3.819757699966431e-05,10.0
3.9399713277816775e-05,10.0
4.047468304634094e-05,10.0
4.1457653045654296e-05,10.0
4.1722744703292845e-05,10.0
4.206645488739014e-05,10.0
4.260829091072083e-05,10.0
4.319137334823608e-05,10.0
4.3279558420181275e-05,10.0
4.3812230229377744e-05,10.0
4.565572738647461e-05,10.0
4.6848833560943607e-05,10.0
4.741606116294861e-05,10.0
4.7592133283615116e-05,10.0
4.759952425956726e-05,10.0
4.837101697921753e-05,10.0
4.850399494171143e-05,10.0
4.850411415100098e-05,10.0
4.8611968755722044e-05,10.0
4.861626029014587e-05,10.0
4.922701418399811e-05,10.0
4.940694570541382e-05,10.0
4.944264888763428e-05,10.0
4.9629241228103636e-05,10.0
5.0097763538360594e-05,10.0
5.022847652435303e-05,10.0
5.032864212989807e-05,10.0
5.1522582769393925e-05,10.0
5.2227064967155455e-05,10.0
5.2328720688819885e-05,10.0
5.3383007645606994e-05,10.0
5.347892642021179e-05,10.0
5.392105877399445e-05,10.0
5.431210994720459e-05,10.0
5.4341018199920656e-05,10.0
5.435909330844879e-05,10.0
5.446304380893707e-05,10.0
5.457316339015961e-05,10.0
5.527524650096894e-05,10.0
5.534258484840393e-05,10.0
5.5662453174591064e-05,10.0
5.625936388969421e-05,10.0
5.68438321352005e-05,10.0
5.7326778769493106e-05,10.0
5.787277221679688e-05,10.0
5.796892940998078e-05,10.0
5.866581201553345e-05,10.0
5.894400179386139e-05,10.0
5.909672379493714e-05,10.0
5.9303417801857e-05,10.0
5.935347080230713e-05,10.0
5.9360235929489135e-05,10.0
5.963534116744995e-05,10.0
5.982840061187744e-05,10.0
6.005467474460602e-05,10.0
6.027352809906006e-05,10.0
6.0597613453865054e-05,10.0
6.123664975166321e-05,10.0
6.175817549228668e-05,10.0
6.215566396713257e-05,10.0
6.307907402515411e-05,10.0
6.351926922798157e-05,10.0
6.355617940425873e-05,10.0
6.3564732670784e-05,10.0
6.371839344501496e-05,10.0
6.393826007843018e-05,10.0
6.424295902252197e-05,10.0
6.442271173000336e-05,10.0
6.442417204380035e-05,10.0
6.444962322711945e-05,10.0
6.447647511959076e-05,10.0
6.48139864206314e-05,10.0
6.515111029148101e-05,10.0
6.519640982151032e-05,10.0
6.529174745082855e-05,10.0
6.572426855564118e-05,10.0
6.620477139949798e-05,10.0
6.706137955188752e-05,10.0
6.771139800548553e-05,10.0
6.790836155414581e-05,10.0
6.805045902729034e-05,10.0
6.8330779671669e-05,10.0
6.854857504367828e-05,10.0
6.876155734062195e-05,10.0
6.877303123474121e-05,10.0
6.89118355512619e-05,10.0
6.898266077041626e-05,10.0
6.89847469329834e-05,10.0
6.924237310886383e-05,10.0
6.9449782371521e-05,10.0
6.950415670871735e-05,10.0
6.950785219669342e-05,10.0
6.963346898555756e-05,10.0
6.967052817344666e-05,10.0
6.981280446052551e-05,10.0
7.039798051118851e-05,10.0
7.040402293205262e-05,10.0
7.05353245139122e-05,10.0
7.13023990392685e-05,10.0
7.144483923912049e-05,10.0
7.195139676332474e-05,10.0
7.205993682146072e-05,10.0
7.289750128984452e-05,10.0
7.290518283843994e-05,10.0
7.309433817863465e-05,10.0
7.33182728290558e-05,10.0
7.337237894535065e-05,10.0
7.36299529671669e-05,10.0
7.37808495759964e-05,10.0
7.38067626953125e-05,10.0
7.40748643875122e-05,10.0
7.408630102872848e-05,10.0
7.412035763263702e-05,10.0
7.4248306453228e-05,10.0
7.468279451131821e-05,10.0
7.480501383543014e-05,10.0
7.495127618312836e-05,10.0
7.51439929008484e-05,10.0
7.56329521536827e-05,10.0
7.570838183164597e-05,10.0
7.59115219116211e-05,10.0
7.638362795114517e-05,10.0
7.720197737216949e-05,10.0
7.746507227420807e-05,10.0
7.759834825992585e-05,10.0
7.8270323574543e-05,10.0
7.846572250127792e-05,10.0
7.854009419679642e-05,10.0
7.879605889320373e-05,10.0
7.904303073883057e-05,10.0
7.90490210056305e-05,10.0
7.928624749183655e-05,10.0
7.93725848197937e-05,10.0
7.952943071722984e-05,10.0
7.968047261238099e-05,10.0
7.995777577161789e-05,10.0
8.044278249144554e-05,10.0
8.066244423389435e-05,10.0
8.116026222705842e-05,10.0
8.145293593406677e-05,10.0
8.176124095916749e-05,10.0
8.279278129339218e-05,10.0
8.306869864463806e-05,10.0
8.336537331342698e-05,10.0
8.35907906293869e-05,10.0
8.388723433017731e-05,10.0
8.392327278852463e-05,10.0
8.41914564371109e-05,10.0
8.423474431037903e-05,10.0
8.480092138051987e-05,10.0
8.481341227889061e-05,10.0
8.554956503212453e-05,10.0
8.617556840181351e-05,10.0
8.670846186578274e-05,10.0
8.691595494747162e-05,10.0
8.694447949528694e-05,10.0
8.778509125113488e-05,10.0
8.779627084732056e-05,10.0
8.799350634217263e-05,10.0
8.850829675793648e-05,10.0
8.865131437778473e-05,10.0
8.867514505982399e-05,10.0
8.899442851543427e-05,10.0
8.919195923954249e-05,10.0
8.954572677612305e-05,10.0
8.959232270717621e-05,10.0
9.015220549190417e-05,10.0
9.046778455376626e-05,10.0
9.055650234222412e-05,10.0
9.12914900109172e-05,10.0
9.209180809557438e-05,10.0
9.227420948445797e-05,10.0
9.23483856022358e-05,10.0
9.238513000309468e-05,10.0
9.294076636433602e-05,10.0
9.29953046143055e-05,10.0
9.307468868792057e-05,10.0
9.326576255261899e-05,10.0
9.369642287492752e-05,10.0
9.382892493158579e-05,10.0
9.416331443935633e-05,10.0
9.465700015425683e-05,10.0
9.47359912097454e-05,10.0
9.476656466722489e-05,10.0
9.544525481760502e-05,10.0
9.567734599113464e-05,10.0
9.688572539016604e-05,10.0
9.698976203799248e-05,10.0
9.753532824106514e-05,10.0
9.776625782251358e-05,10.0
9.77714154869318e-05,10.0
9.807106992229819e-05,10.0
9.830966219305992e-05,10.0
9.86457671970129e-05,10.0
9.869417548179626e-05,10.0
9.87728051841259e-05,10.0
9.958394430577755e-05,10.0
9.963875822722911e-05,10.0
0.00010016517154872417,10.0
0.00010029415786266328,10.0
0.00010032341443002224,10.0
0.00010095880180597306,10.0
0.00010109308641403913,10.0
0.00010273980535566807,10.0
0.00010282091610133648,10.0
0.00010339362174272537,10.0
0.00010386806167662144,10.0
0.00010398605838418008,10.0
0.00010433932393789291,10.0
0.00010455320286564529,10.0
0.0001049393080174923,10.0
0.00010513366386294365,10.0
0.00010533652268350124,10.0
0.00010550299845635891,10.0
0.00010558956116437912,10.0
0.00010610660910606385,10.0
0.0001062328852713108,10.0
0.00010645736008882523,10.0
0.00010717575997114182,10.0
0.00010718955472111702,10.0
0.00010793038085103035,10.0
0.00010832073539495468,10.0
0.00010907668247818946,10.0
0.00011013349890708924,10.0
0.00011024048924446107,10.0
0.00011055751517415047,10.0
0.00011092837620526553,10.0
0.00011118986830115318,10.0
0.00011138846352696419,10.0
0.00011180069297552109,10.0
0.00011191512458026409,10.0
0.0001125739961862564,10.0
0.00011259541660547256,10.0
0.00011266715452075005,10.0
0.00011286354064941407,10.0
0.00011345604620873929,10.0
0.00011414825171232224,10.0
0.00011556078866124154,10.0
0.00011571645736694336,10.0
0.00011622619349509478,10.0
0.00011655765399336816,10.0
0.00011719107627868653,10.0
0.0001178304497152567,10.0
0.00011821067333221436,10.0
0.00011822205781936646,10.0
0.0001184363253414631,10.0
0.00011860183253884316,10.0
0.0001188570111989975,10.0
0.0001197291302960366,10.0
0.00011975922435522079,10.0
0.00011981961503624917,10.0
0.0001199970617890358,10.0
0.00012067158427089453,10.0
0.00012088801339268685,10.0
0.00012145166564732791,10.0
0.0001215711124241352,10.0
0.0001225034147500992,10.0
0.00012530703749507666,10.0
0.00012554226256906986,10.0
0.0001258928766474128,10.0
0.00012711307452991605,10.0
0.00012780115008354187,10.0
0.00012929251790046693,10.0
0.00012951313564553858,10.0
0.00013069787994027138,10.0
0.00013379594357684256,10.0
0.0001341074638767168,10.0
0.00013474062457680702,10.0
0.00013571649603545666,10.0
0.00013804734451696276,10.0
0.00013989990204572677,10.0
0.0001426709620282054,10.0
0.0001444874256849289,10.0
0.0001450647097080946,10.0
0.00014991605281829834,10.0
0.00015027520805597306,10.0
0.00015064879320561886,10.0
0.0001550845727324486,10.0
0.00015563414990901948,10.0
0.00015689145401120186,10.0
0.00015697351098060608,10.0
0.00015946059674024583,10.0
0.00016510495543479919,10.0
0.0001664313767105341,10.0
0.00016656758263707162,10.0
0.0001692182645201683,10.0
0.00017009016871452333,10.0
0.00017139820009469986,10.0
0.00017141088098287583,10.0
0.00017412827536463738,10.0
0.00017533613368868827,10.0
0.00018013960123062134,10.0
0.00018330948054790498,10.0
0.00018483617156744004,10.0
0.0001854405999183655,10.0
0.00019062329083681108,10.0
0.0001920217275619507,10.0
