x,y,R_std,y_hi,y_lo
1,0.0,0.0,0.0,0.0
2,3.5919398069381716e-06,0.0,3.5919398069381716e-06,3.5919398069381716e-06
3,3.5919398069381716e-06,0.0,3.5919398069381716e-06,3.5919398069381716e-06
4,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0
8,2.25500762462616e-06,0.0,2.25500762462616e-06,2.25500762462616e-06
9,2.25500762462616e-06,0.0,2.25500762462616e-06,2.25500762462616e-06
10,5.657881498336792e-06,0.0,5.657881498336792e-06,5.657881498336792e-06
11,1.2784784038861595e-05,3.764970953003412e-06,1.6549754991865006e-05,9.019813085858184e-06
12,6.282880902290344e-06,3.677982465409707e-06,9.960863367700052e-06,2.6048984368806374e-06
13,9.19489935040474e-06,5.947674410971383e-06,1.5142573761376123e-05,3.2472249394333564e-06
14,6.39399141073227e-06,3.1843713704105506e-06,9.57836278114282e-06,3.2096200403217196e-06
15,7.297649979591368e-06,4.009928120247946e-06,1.1307578099839314e-05,3.2877218593434224e-06
16,9.429952927998136e-06,6.356554591242097e-06,1.5786507519240234e-05,3.0733983367560396e-06
17,1.158907637000084e-05,7.188486349487883e-06,1.8777562719488722e-05,4.400590020512958e-06
18,6.558015942573547e-06,4.526454781725396e-06,1.1084470724298944e-05,2.0315611608481518e-06
19,1.6065808279173714e-05,1.0065257431635446e-05,2.613106571080916e-05,6.000550847538268e-06
20,1.8450719969613212e-05,1.5606207846445756e-05,3.405692781605897e-05,2.8445121231674564e-06
21,1.3418894675042894e-05,9.175781874862383e-06,2.259467654990528e-05,4.24311280018051e-06
22,1.459173560142517e-05,1.4012218367372657e-05,2.8603953968797827e-05,5.795172340525133e-07
23,2.3291704555352527e-05,1.2350561577294426e-05,3.5642266132646955e-05,1.0941142978058101e-05
24,1.9590981304645537e-05,1.662123856454508e-05,3.6212219869190615e-05,2.9697427401004566e-06
25,2.1226032078266143e-05,1.723885631064509e-05,3.846488838891123e-05,3.9871757676210534e-06
26,1.8722696436776055e-05,1.674718707673224e-05,3.5469883513508294e-05,1.9755093600438154e-06
27,1.5082502737641334e-05,1.2675030795037696e-05,2.775753353267903e-05,2.4074719426036383e-06
28,2.6756220393710666e-05,1.969049300050144e-05,4.644671339421211e-05,7.0657273932092245e-06
29,1.646110581027137e-05,9.653496594601502e-06,2.6114602404872873e-05,6.8076092156698675e-06
30,1.834682561457157e-05,2.0432481751947447e-05,3.877930736651901e-05,-2.0856561373758783e-06
31,1.8123633095196316e-05,1.2166071574905001e-05,3.0289704670101317e-05,5.957561520291315e-06
32,1.0239794850349427e-05,5.45985996723175e-06,1.5699654817581177e-05,4.779934883117677e-06
33,8.456027135252953e-06,9.413012065252363e-06,1.7869039200505317e-05,-9.569849299994101e-07
34,8.017510175704957e-06,1.1708636039172592e-05,1.9726146214877547e-05,-3.6911258634676355e-06
35,7.485700505120414e-06,4.300324131493952e-06,1.1786024636614365e-05,3.185376373626462e-06
36,1.087806224822998e-05,5.686508367258399e-06,1.656457061548838e-05,5.1915538809715815e-06
37,2.0803983012835188e-05,8.938577003276889e-06,2.9742560016112077e-05,1.1865406009558299e-05
38,2.2159750972475322e-05,1.2258279051092494e-05,3.4418030023567814e-05,9.901471921382828e-06
39,2.620612297739301e-05,1.8474197938673617e-05,4.468032091606663e-05,7.731925038719392e-06
40,3.084200620651245e-05,2.2069218692826453e-05,5.291122489933891e-05,8.772787513685997e-06
41,2.7970138523313735e-05,2.531548759606406e-05,5.3285626119377796e-05,2.6546509272496745e-06
42,3.4889757633209226e-05,1.2859737597244714e-05,4.774949523045394e-05,2.203002003596451e-05
43,3.9442862783159525e-05,1.5768550652723294e-05,5.5211413435882816e-05,2.367431213043623e-05
44,4.22269172138638e-05,2.1377894349801264e-05,6.360481156366506e-05,2.0849022864062534e-05
45,2.524880899323357e-05,1.6323147340141193e-05,4.157195633337477e-05,8.925661653092379e-06
46,4.2403745651245115e-05,2.2455389341016645e-05,6.485913499226176e-05,1.994835631022847e-05
47,5.9718761179182266e-05,6.025727346036533e-05,0.0001199760346395476,-5.385122811830641e-07
48,6.901695728302002e-05,4.6426068964251037e-05,0.00011544302624727105,2.259088831876898e-05
49,8.237613572014702e-05,3.979287897720175e-05,0.00012216901469734877,4.258325674294527e-05
50,0.0001338521225584878,6.496681230899069e-05,0.00019881893486747848,6.888531024949712e-05
51,0.0001100505784153938,0.00011334740477773916,0.00022339798319313296,-3.2968263623453498e-06
52,0.0002053723365068436,0.0001507907182380588,0.0003561630547449024,5.45816182687848e-05
53,0.00011140237417485981,7.536083213798719e-05,0.00018676320631284702,3.6041542036872624e-05
